Protein.uniprotID	Protein.proID
Q8VEX6	PR_Q8VEX6
Q55C77	PR_Q55C77
Q01702	PR_Q01702
Q571E4	PR_Q571E4
Q86UY5	PR_Q86UY5
P40585	PR_P40585
Q8VHR5	PR_Q8VHR5
Q08981	PR_Q08981
Q61409	PR_Q61409
Q9JI20	PR_Q9JI20
Q99PG6	PR_Q99PG6
Q12370	PR_Q12370
Q27515	PR_Q27515
Q20170	PR_Q20170
Q38847	PR_Q38847
Q3E9W6	PR_Q3E9W6
Q8R4L0	PR_Q8R4L0
Q12347	PR_Q12347
Q5F4W2	PR_Q5F4W2
P49770	PR_P49770
Q6PE84	PR_Q6PE84
P11498	PR_P11498
Q9LZW4	PR_Q9LZW4
Q05192	PR_Q05192
P11413	PR_P11413
Q9MA98	PR_Q9MA98
P78406	PR_P78406
Q6GMK0	PR_Q6GMK0
O60870	PR_O60870
P58397	PR_P58397
Q9LF14	PR_Q9LF14
Q64620	PR_Q64620
Q9LK27	PR_Q9LK27
Q9CYC6	PR_Q9CYC6
Q8RWE9	PR_Q8RWE9
Q4KLJ8	PR_Q4KLJ8
Q9CQ26	PR_Q9CQ26
Q12308	PR_Q12308
O88522	PR_O88522
Q5PQJ9	PR_Q5PQJ9
P61264	PR_P61264
O95976	PR_O95976
Q9LTL8	PR_Q9LTL8
Q8H0W1	PR_Q8H0W1
Q5E1N2	PR_Q5E1N2
P76422	PR_P76422
O93385	PR_O93385
C9JNS8	PR_C9JNS8
P27431	PR_P27431
P34115	PR_P34115
Q61790	PR_Q61790
P21837	PR_P21837
O13565	PR_O13565
Q9D1G5	PR_Q9D1G5
Q8C0T7	PR_Q8C0T7
Q9M099	PR_Q9M099
Q02486	PR_Q02486
Q80YS9	PR_Q80YS9
Q27536	PR_Q27536
P18505	PR_P18505
Q0WV12	PR_Q0WV12
P54791	PR_P54791
Q9Z1M8	PR_Q9Z1M8
Q12214	PR_Q12214
Q55DI9	PR_Q55DI9
Q8IWY4	PR_Q8IWY4
Q59RA0	PR_Q59RA0
Q2MHN3	PR_Q2MHN3
O82503	PR_O82503
Q9UUG8	PR_Q9UUG8
Q7Z3V5	PR_Q7Z3V5
P46971	PR_P46971
Q54DM0	PR_Q54DM0
P07947	PR_P07947
P39750	PR_P39750
Q9C6M1	PR_Q9C6M1
Q9HWC5	PR_Q9HWC5
Q6NW95	PR_Q6NW95
Q9H993	PR_Q9H993
A2A8T7	PR_A2A8T7
Q9WVC8	PR_Q9WVC8
Q9LHQ1	PR_Q9LHQ1
Q8BI08	PR_Q8BI08
Q9WU28	PR_Q9WU28
Q19895	PR_Q19895
P68349	PR_P68349
Q9S7Y1	PR_Q9S7Y1
R4GL74	PR_R4GL74
Q553P6	PR_Q553P6
P42025	PR_P42025
P23949	PR_P23949
O77475	PR_O77475
Q5ZJM3	PR_Q5ZJM3
Q9UIY3	PR_Q9UIY3
Q3UTB7	PR_Q3UTB7
Q5RJH6	PR_Q5RJH6
Q15819	PR_Q15819
Q9U2A9	PR_Q9U2A9
O74971	PR_O74971
Q9FID5	PR_Q9FID5
Q10423	PR_Q10423
Q9UIK5	PR_Q9UIK5
Q91VN6	PR_Q91VN6
Q8R087	PR_Q8R087
P10716	PR_P10716
Q8WTC1	PR_Q8WTC1
Q84MZ4	PR_Q84MZ4
Q96L12	PR_Q96L12
P07814	PR_P07814
Q9H310	PR_Q9H310
P0AA82	PR_P0AA82
P97501	PR_P97501
P0DPP3	PR_P0DPP3
Q8MXL9	PR_Q8MXL9
Q5PQT3	PR_Q5PQT3
D4A1R8	PR_D4A1R8
O18408	PR_O18408
P09960	PR_P09960
Q9UH62	PR_Q9UH62
O94403	PR_O94403
Q0WQ41	PR_Q0WQ41
Q6UWM9	PR_Q6UWM9
Q8L7F7	PR_Q8L7F7
Q62767	PR_Q62767
Q9JKL1	PR_Q9JKL1
O94696	PR_O94696
Q6P073	PR_Q6P073
P19769	PR_P19769
Q9FH90	PR_Q9FH90
Q924U1	PR_Q924U1
Q01826	PR_Q01826
P77672	PR_P77672
Q09583	PR_Q09583
P26122	PR_P26122
Q5FVI4	PR_Q5FVI4
Q8N5L8	PR_Q8N5L8
Q9XXJ0	PR_Q9XXJ0
Q5D6Y6	PR_Q5D6Y6
Q6AY75	PR_Q6AY75
P0DI19	PR_P0DI19
Q96E11	PR_Q96E11
Q9R0K8	PR_Q9R0K8
Q9EPJ3	PR_Q9EPJ3
Q9N587	PR_Q9N587
P34284	PR_P34284
P05532	PR_P05532
P97526	PR_P97526
P20099	PR_P20099
O97980	PR_O97980
Q41963	PR_Q41963
Q14BX2	PR_Q14BX2
Q5A7R7	PR_Q5A7R7
Q9ZVJ3	PR_Q9ZVJ3
Q9CRG1	PR_Q9CRG1
Q54WF3	PR_Q54WF3
Q9LPF6	PR_Q9LPF6
F4KGD4	PR_F4KGD4
Q9SUP0	PR_Q9SUP0
Q8S9G8	PR_Q8S9G8
P34910	PR_P34910
P37747	PR_P37747
P98168	PR_P98168
A5I6W5	PR_A5I6W5
Q9JKT4	PR_Q9JKT4
Q9D2U9	PR_Q9D2U9
P41247	PR_P41247
P49957	PR_P49957
O35488	PR_O35488
Q9Z0P5	PR_Q9Z0P5
B9EJG8	PR_B9EJG8
Q5T7R7	PR_Q5T7R7
Q8IP11	PR_Q8IP11
O22141	PR_O22141
O00716	PR_O00716
Q9XIE4	PR_Q9XIE4
P17533	PR_P17533
Q9I993	PR_Q9I993
Q92365	PR_Q92365
P64476	PR_P64476
Q62969	PR_Q62969
P36015	PR_P36015
Q923M0	PR_Q923M0
Q96K37	PR_Q96K37
Q9Y4C1	PR_Q9Y4C1
Q9P7Z3	PR_Q9P7Z3
P0C0X0	PR_P0C0X0
Q9GZN8	PR_Q9GZN8
Q5MAU8	PR_Q5MAU8
Q9C109	PR_Q9C109
Q04031	PR_Q04031
Q43291	PR_Q43291
O74850	PR_O74850
O95208	PR_O95208
Q86Z20	PR_Q86Z20
P10153	PR_P10153
P32367	PR_P32367
P12111	PR_P12111
P63312	PR_P63312
Q9VAF0	PR_Q9VAF0
O94889	PR_O94889
Q9C1S9	PR_Q9C1S9
Q54UU8	PR_Q54UU8
O42925	PR_O42925
Q8GWU1	PR_Q8GWU1
Q9Y5E1	PR_Q9Y5E1
