Chemical.meshID	Chemical.chebiID
MESH_C000820	CHEBI_16504
MESH_C046833	CHEBI_6505
MESH_C027429	CHEBI_135600
MESH_D013414	CHEBI_94621
MESH_D012999	CHEBI_9195
MESH_C015478	CHEBI_17530
MESH_D010649	CHEBI_17295
MESH_C483989	CHEBI_65374
MESH_C007567	CHEBI_30473
MESH_C015810	CHEBI_58611
MESH_D014801	CHEBI_17336
MESH_C005274	CHEBI_28819
MESH_C006923	CHEBI_38265
MESH_C038849	CHEBI_8891
MESH_C069053	CHEBI_7622
MESH_C032773	CHEBI_69656
MESH_C525418	CHEBI_144086
MESH_C039923	CHEBI_135615
MESH_D014639	CHEBI_27698
MESH_C026146	CHEBI_16446
MESH_C007153	CHEBI_62891
MESH_C010827	CHEBI_4474
MESH_C066131	CHEBI_39157
MESH_C588240	CHEBI_88219
MESH_C476154	CHEBI_70620
MESH_C018009	CHEBI_88358
MESH_C036460	CHEBI_82556
MESH_C024629	CHEBI_4609
MESH_D004928	CHEBI_2500
MESH_D006862	CHEBI_29919
MESH_C078634	CHEBI_35164
MESH_C017542	CHEBI_1445
MESH_C009621	CHEBI_16141
MESH_C057609	CHEBI_48984
MESH_C035645	CHEBI_74762
MESH_C026017	CHEBI_73914
MESH_D000068796	CHEBI_83296
MESH_D000077237	CHEBI_30621
MESH_D052578	CHEBI_63895
MESH_C000618142	CHEBI_156193
MESH_C002550	CHEBI_3188
MESH_D019888	CHEBI_7496
MESH_D006206	CHEBI_31663
MESH_D006153	CHEBI_17552
MESH_C028358	CHEBI_41633
MESH_C000615420	CHEBI_82623
MESH_C010727	CHEBI_5013
MESH_C010186	CHEBI_88275
MESH_C000590722	CHEBI_64530
MESH_C058852	CHEBI_82391
MESH_D015034	CHEBI_36560
MESH_C121104	CHEBI_27827
MESH_C000593170	CHEBI_133741
MESH_D004967	CHEBI_50114
MESH_C065411	CHEBI_77526
MESH_C521327	CHEBI_64454
MESH_D010630	CHEBI_8066
MESH_C508093	CHEBI_34549
MESH_C026717	CHEBI_78949
MESH_C044982	CHEBI_136014
MESH_D001581	CHEBI_50265
MESH_C511450	CHEBI_153569
MESH_D014303	CHEBI_46053
MESH_C069646	CHEBI_1374
MESH_C089722	CHEBI_73285
MESH_C533737	CHEBI_86092
MESH_C024683	CHEBI_42263
MESH_D014801	CHEBI_33229
MESH_C535046	CHEBI_16308
MESH_C025191	CHEBI_34591
MESH_D004010	CHEBI_34692
MESH_C006983	CHEBI_27757
MESH_C588260	CHEBI_85182
MESH_C512235	CHEBI_31948
MESH_C107589	CHEBI_58854
MESH_C067139	CHEBI_28134
MESH_C503888	CHEBI_138446
MESH_C488462	CHEBI_61532
MESH_D019329	CHEBI_5862
MESH_C059151	CHEBI_85060
MESH_C016579	CHEBI_37051
MESH_C044523	CHEBI_145029
MESH_D010696	CHEBI_16204
MESH_C025285	CHEBI_63174
MESH_D011377	CHEBI_32058
MESH_D000537	CHEBI_30187
