Protein.proID	Cofactor.chebiID
PR_P62136	CHEBI_29035
PR_P31152	CHEBI_18420
PR_	CHEBI_29036
PR_P53384	CHEBI_49883
PR_P54750	CHEBI_60240
PR_Q14123	CHEBI_60240
PR_O00408	CHEBI_60240
PR_Q9Y2J8	CHEBI_29108
PR_P62140	CHEBI_29035
PR_	CHEBI_29105
PR_Q5SGD2	CHEBI_18420
PR_Q5SGD2	CHEBI_29035
PR_O15297	CHEBI_18420
PR_O15297	CHEBI_29035
PR_P14555	CHEBI_29108
PR_O00469	CHEBI_38290
PR_O00469	CHEBI_29033
PR_P55786	CHEBI_29105
PR_Q9UNA4	CHEBI_18420
PR_Q9UNA4	CHEBI_29035
PR_O75688	CHEBI_18420
PR_O75688	CHEBI_29035
PR_O75116	CHEBI_18420
PR_Q9UQQ1	CHEBI_29105
PR_Q96PH1	CHEBI_18420
PR_Q96PH1	CHEBI_57692
PR_Q8TB37	CHEBI_49883
PR_Q99489	CHEBI_60470
PR_Q99489	CHEBI_57692
PR_Q96LW4	CHEBI_29035
PR_P31350	CHEBI_24875
PR_Q96E52	CHEBI_29105
PR_Q00722	CHEBI_29108
PR_Q8N142	CHEBI_18420
PR_Q8WU10	CHEBI_57692
PR_Q9Y4U1	CHEBI_58210
PR_Q9Y4U1	CHEBI_57692
PR_P22894	CHEBI_29105
PR_P22894	CHEBI_29108
PR_P50281	CHEBI_29105
PR_P50281	CHEBI_29108
PR_P51003	CHEBI_18420
PR_P51003	CHEBI_29035
PR_Q9NRJ5	CHEBI_18420
PR_Q9NRJ5	CHEBI_29035
PR_Q9UNK4	CHEBI_29108
PR_P23219	CHEBI_60344
PR_Q6XQN6	CHEBI_18420
PR_Q6XQN6	CHEBI_29035
PR_Q05823	CHEBI_18420
PR_Q05823	CHEBI_29035
PR_P47972	CHEBI_29108
PR_Q9HC98	CHEBI_18420
PR_O95989	CHEBI_18420
PR_O95294	CHEBI_29108
PR_P61927	CHEBI_29105
PR_Q9UBK8	CHEBI_58210
PR_Q9UBK8	CHEBI_57692
PR_O00743	CHEBI_29035
PR_Q86YJ6	CHEBI_597326
PR_Q9UKU6	CHEBI_29105
PR_Q6NUM6	CHEBI_49883
PR_Q96S53	CHEBI_18420
PR_Q96S53	CHEBI_29035
PR_O75063	CHEBI_29035
PR_Q14191	CHEBI_29105
PR_Q14191	CHEBI_18420
PR_Q14191	CHEBI_29035
PR_Q13464	CHEBI_18420
PR_Q01974	CHEBI_18420
PR_Q9NTG7	CHEBI_29105
PR_P49903	CHEBI_18420
PR_Q8NBK3	CHEBI_29036
PR_P0C7P4	CHEBI_49601
PR_Q96PF1	CHEBI_29108
PR_O14607	CHEBI_38290
PR_O14607	CHEBI_29033
