Protein.proID	Catalyst.chebiID
PR_Q9BWT3	CHEBI_33019
PR_Q6TGC4	CHEBI_15377
PR_Q6TGC4	CHEBI_83397
PR_Q6TGC4	CHEBI_28938
PR_Q6TGC4	CHEBI_29965
PR_Q92696	CHEBI_86021
PR_Q92696	CHEBI_33019
PR_Q92696	CHEBI_57533
PR_Q92696	CHEBI_29950
PR_Q9NRX4	CHEBI_15377
PR_Q9NRX4	CHEBI_43474
PR_Q9NRX4	CHEBI_83586
PR_Q9NRX4	CHEBI_64837
PR_Q9NRX4	CHEBI_29979
PR_Q8N3E9	CHEBI_15377
PR_Q8N3E9	CHEBI_15378
PR_Q8N3E9	CHEBI_203600
PR_Q8N3E9	CHEBI_17815
PR_Q8N3E9	CHEBI_58456
PR_P08922	CHEBI_15378
PR_P08922	CHEBI_30616
PR_P08922	CHEBI_46858
PR_P08922	CHEBI_82620
PR_P08922	CHEBI_456216
PR_Q9NTJ5	CHEBI_15377
PR_Q9NTJ5	CHEBI_43474
PR_Q9NTJ5	CHEBI_58178
PR_Q9NTJ5	CHEBI_58088
PR_Q9NTJ5	CHEBI_57880
PR_Q9C0A6	CHEBI_57856
PR_Q9C0A6	CHEBI_29969
PR_Q9C0A6	CHEBI_15378
PR_Q9C0A6	CHEBI_61929
PR_Q9C0A6	CHEBI_61961
PR_Q9C0A6	CHEBI_59789
PR_Q15772	CHEBI_15378
PR_Q15772	CHEBI_30616
PR_Q15772	CHEBI_61977
PR_Q15772	CHEBI_83421
PR_Q15772	CHEBI_30013
PR_Q15772	CHEBI_456216
PR_Q15772	CHEBI_29999
PR_Q8NHU3	CHEBI_78656
PR_Q8NHU3	CHEBI_67042
PR_Q8NHU3	CHEBI_17636
PR_Q8NHU3	CHEBI_64612
PR_Q8NHU3	CHEBI_72999
PR_Q8NHU3	CHEBI_82983
PR_Q8NHU3	CHEBI_57643
PR_Q8NHU3	CHEBI_82929
PR_Q8NHU3	CHEBI_65107
PR_Q8NHU3	CHEBI_78421
PR_Q8NHU3	CHEBI_78647
PR_Q8NHU3	CHEBI_17815
PR_Q8NHU3	CHEBI_78650
PR_Q8NHU3	CHEBI_52639
PR_Q8NHU3	CHEBI_78654
PR_P15907	CHEBI_28034
PR_P15907	CHEBI_15378
PR_P15907	CHEBI_57812
PR_P15907	CHEBI_60377
PR_P15907	CHEBI_136398
PR_Q6IMI4	CHEBI_15378
PR_Q6IMI4	CHEBI_58339
PR_Q6IMI4	CHEBI_58343
PR_Q6IMI4	CHEBI_305790
PR_Q6IMI4	CHEBI_58910
PR_Q8WU08	CHEBI_15378
PR_Q8WU08	CHEBI_30616
PR_Q8WU08	CHEBI_61977
PR_Q8WU08	CHEBI_83421
PR_Q8WU08	CHEBI_30013
PR_Q8WU08	CHEBI_456216
PR_Q8WU08	CHEBI_29999
PR_O95455	CHEBI_57649
PR_O95455	CHEBI_15377
PR_O95455	CHEBI_57477
PR_P29401	CHEBI_59776
PR_P29401	CHEBI_58273
PR_P29401	CHEBI_57737
PR_P29401	CHEBI_57483
PR_O14746	CHEBI_83828
PR_O14746	CHEBI_61560
PR_O14746	CHEBI_33019
PR_Q5NDL2	CHEBI_15378
PR_Q5NDL2	CHEBI_90838
PR_Q5NDL2	CHEBI_57705
PR_Q5NDL2	CHEBI_90840
PR_Q5NDL2	CHEBI_30013
PR_Q5NDL2	CHEBI_29999
PR_Q5NDL2	CHEBI_58223
PR_P19447	CHEBI_15377
PR_P19447	CHEBI_15378
PR_P19447	CHEBI_43474
PR_P19447	CHEBI_30616
PR_P19447	CHEBI_456216
PR_P06744	CHEBI_57584
PR_P06744	CHEBI_57579
PR_P11413	CHEBI_15378
PR_P11413	CHEBI_57955
PR_P11413	CHEBI_57783
PR_P11413	CHEBI_61548
PR_P11413	CHEBI_58349
PR_P51570	CHEBI_58336
PR_P51570	CHEBI_15378
PR_P51570	CHEBI_30616
PR_P51570	CHEBI_28061
PR_P51570	CHEBI_456216
PR_Q9BRQ8	CHEBI_15378
PR_Q9BRQ8	CHEBI_57540
PR_Q9BRQ8	CHEBI_46245
PR_Q9BRQ8	CHEBI_64183
PR_Q9BRQ8	CHEBI_57945
PR_Q86SF2	CHEBI_15378
PR_Q86SF2	CHEBI_87075
