Phenotype.umls	Phenotype.hpoID
C0022596	HP_0000982
C0022596	HP_0000972
C0010495	HP_0000973
C0241074	HP_0000974
C0020458	HP_0000975
C1844592	HP_0000977
C0423798	HP_0000978
C4732730	HP_0000979
C0034150	HP_0000979
C0030232	HP_0000980
C4551675	HP_0000982
C4021786	HP_0000987
C0015230	HP_0000988
C0033774	HP_0000989
C0043325	HP_0000991
C0349506	HP_0000992
C1844597	HP_0000993
C0027962	HP_0000995
C0027962	HP_0003764
C1858545	HP_0000996
C1860335	HP_0000997
C0020555	HP_0000998
C0034212	HP_0000999
C1260926	HP_0001000
C4025813	HP_0001001
C1328931	HP_0001003
C0036651	HP_0001003
C0240278	HP_0001004
C0024236	HP_0001004
C4025812	HP_0001005
C4721530	HP_0001006
