DATAFLOW,LAST UPDATE,freq,itm_newa,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,DK,1994,92.82,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,DK,1995,89.50,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,DK,1996,88.37,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,DK,1997,86.05,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,DK,1998,82.03,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,DK,1999,77.93,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,DK,2000,75.54,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,DK,2001,75.79,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,DK,2002,72.18,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,DK,2003,69.99,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,DK,2004,66.90,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,DK,2005,62.90,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,DK,2006,60.90,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,DK,2007,58.80,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,DK,2008,58.10,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,DK,2009,55.10,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,DK,2010,54.20,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,DK,2011,52.06,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,DK,2012,52.46,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,DK,2013,52.71,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,DK,2014,54.09,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,DK,2015,54.68,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,DK,2016,54.98,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,DK,2017,54.79,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,DK,2018,53.79,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,DK,2019,53.01,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,DK,2020,51.14,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,DK,2021,48.47,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,DK,2022,47.43,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,DK,2023,42.09,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,DK,2024,40.83,e
